eko{paradigm=numeral, number=singular, gender=masculine, case=nominative}
dvīsu{paradigm=numeral, number=plural, case=locative}
=
ubho{paradigm=numeral, number=plural, case=nominative}
ubhe{paradigm=numeral, number=plural, case=nominative}
ubhinnaṃ{paradigm=numeral, number=plural, case=genitive}
ubhinnaṃ{paradigm=numeral, number=plural, case=dative}
ubho{paradigm=numeral, number=plural, case=accusative}
ubhe{paradigm=numeral, number=plural, case=accusative}
ubhohi{paradigm=numeral, number=plural, case=instrumental}
ubhobhi{paradigm=numeral, number=plural, case=instrumental}
ubhehi{paradigm=numeral, number=plural, case=instrumental}
ubhebhi{paradigm=numeral, number=plural, case=instrumental}
ubhohi{paradigm=numeral, number=plural, case=ablative}
ubhobhi{paradigm=numeral, number=plural, case=ablative}
ubhehi{paradigm=numeral, number=plural, case=ablative}
ubhebhi{paradigm=numeral, number=plural, case=ablative}
ubhosu{paradigm=numeral, number=plural, case=locative}
ubhesu{paradigm=numeral, number=plural, case=locative}
=
